1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.42,0.51,0.56,0.6,0.62,0.67,0.72,0.75,0.78,0.82,0.82,0.82,0.82,0.76,0.74,0.73,0.71,0.68,0.66,0.66,0.64
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
