"dataid","Id","Auditor__c","Date_of_Audit__c","Notes__c","Number_of_Floors__c","Number_of_Bedrooms__c","Construction_Year__c","Builder__c","Conditioned_Square_Footage__c","House_Volume_Cubic_Footage__c","Front_Door_Orientation__c","HVAC_Service_Company__c","Utilities__c","Foundation_Type__c","Type_of_Home__c","Number_of_Central_Heat_Pumps__c","Number_of_Central_AC_Systems__c","Number_of_AC_Window_Units__c","Number_of_Other_Cooling_Systems__c","Type_of_Other_Cooling_Systems__c","Number_of_Central_Gas_Heating_Systems__c","Number_of_Wall_Furnaces__c","Number_of_Gas_Space_Heaters__c","Number_of_Heat_Recovery_Systems__c","Number_of_Electric_Space_Heaters__c","Number_of_Hydronic_Space_Heaters__c","Description_Dedicated_Ventilation_Syst__c","Number_of_Manual_Thermostats__c","Number_of_Digital_Thermostats__c","Attic_Insulation_Notes__c","Total_Window_Square_Footage_N__c","Total_Window_Square_Footage_NW__c","Total_Window_Square_Footage_W__c","Total_Window_Square_Footage_SW__c","Total_Window_Square_Footage_S__c","Total_Window_Square_Footage_SE__c","Total_Window_Square_Footage_E__c","Total_Window_Square_Footage_NE__c","Solar_Screening_Film_Sqft_N__c","Solar_Screening_Film_Sqft_NW__c","Solar_Screening_Film_Sqft_W__c","Solar_Screening_Film_Sqft_SW__c","Solar_Screening_Film_Sqft_S__c","Solar_Screening_Film_Sqft_SE__c","Solar_Screening_Film_Sqft_E__c","Solar_Screening_Film_Sqft_NE__c","Window_Type__c","Skylights__c","Windows_Shading_Comments__c","Number_of_Exterior_Doors__c","Number_of_Weatherstripped_Exterior_Doors__c","Plumbing_Penetrations_Sealed__c","Fireplace__c","Fireplace_Vented_to_Outside__c","Fireplace_Damper_Operable__c","External_Combustion_Air_to_Fireplace__c","Blower_Door_Test_1_15_Pa__c","Blower_Door_Test_2_30_Pa__c","Blower_Door_Test_3_50_Pa__c","ACH50_Calculation__c","Air_Infiltration_Comments__c","Attic_Floor_Square_Footage__c","Attic_Insulation_Type_R_Value__c","Attic_Average_Insulation_Depth_in__c","Attic_Insulation_Secured__c","Openings_Between_Floors__c","Radiant_Barrier__c","Attic_Access_in_Conditioned_Space__c","Attic_Hatch_Stair_Box_Insulated__c","Properly_Sealed_Protrusions__c","Total_Number_of_Windows__c","Significant_Shade__c","Distance_From_Neighbors__c","Thermostats_are_Programmable__c","Blower_Door_Test_Time__c","Total_R_Value_of_Attic__c","Audit_Completion_Status__c"
7319,"a0RG000000SYgLMMA1","Scott Grantham","2014-01-31","","2","4","1990","David Weekly","3108","31852","N","","Electricity;Natural Gas","Slab","Single-Family","0","2","0","0","","0","0","0","0","0","2","","0","2","Attic has 2 access points - overhead and through a door. Its a split level attic. Mostly rock wool insulation with some fiberglass supplements.","128","","75","","115","10","89","10","","","67","","","10","52","10","Double-pane;Low-e;Metal","1","Solar screens on almost all south, west, east-facing windows. Interior shutter blinds.","2","2","0","1","1","1","1","1130.00","1825.00","2490.00","4.60","","1500","Fiberglass/Insulsafe (2.2);Rockwool (2.9)","10.00","0","1","0","Yes","Yes","Yes","33","0",">= 20","1","1:30 PM","29.00","Quality Checked and Sent to Participant"
7510,"a0RG000000PqCfRMAV","Scott Grantham","2013-11-06","No gas service to residence","2","5","1991","Unknown","3780","34902","NE","Service Experts","Electricity","Slab","Single-Family","2","2","0","0","N/A","0","0","0","0","2","0","","0","2","","0.00","101.00","15.00","185.00","22.00","56.00","0.00","152.00","0","0","0","0","0","0","0","0","Double-pane;Vinyl;Metal","1","","5","5","1","1","1","1","0","2065.00","2845.00","3575.00","6.30","","1939","Cellulose (3.5)","15.00","0","0","0","Yes","Yes","Yes","44","1","15","1","10:00 AM","52.50","Quality Checked and Sent to Participant"
7982,"a0RG000000P8BB2MAN","Scott Grantham","2013-09-18","","1","3","2007","Meritage","1720","15480","E","None","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","1","Entry to attic is above garage in unconditioned space.","62.00","0.00","10.00","0.00","68.00","0.00","54.00","0.00","0","0","0","0","0","0","0","0","Double-pane;Low-e;Vinyl","0","","2","2","1","1","1","1","1","597.00","1095.00","1465.00","5.90","Fireplace is gas, Master bath toilet penetrations could be better sealed","1720","Cellulose (3.5)","14.00","0","0","1","No","Yes","Yes","19","0","10","1","3:30 PM","49.00","Quality Checked and Sent to Participant"
8061,"a0RG000000Sb2ecMAB","Fabio Ferrera (We Green Inc.)","2013-12-13","New home, tri-level town home. Distance: Shares both side walls. Significant shade: Front neighbor 20, Back 27. Utility: SDG&E","3","2","2012","Unknown","1453","13454","W","N/A","Electricity;Natural Gas","Slab","Town Home","0","1","0","0","N/A","1","0","0","0","0","0","3 Bathroom exhaust fans, 1 Range hood, 1 dryer","0","3","Fiberglass Batts (3.0)                                  Loose Fill Cellulose (3.5)","0.00","0.00","162.00","0.00","18.00","0.00","47.00","0.00","0","0","0","0","0","0","0","0","Double-pane vinyl;Low E","0","None","2","2","1","0","0","0","0","842.00","1380.00","1936.00","8.63","None","630","Cellulose (3.5);Fiberglass Batts (3.2)","12.00","1","1","0","Yes","Yes","Yes","18","1","0","1","11:00 AM PST","38.00","Quality Checked, Not Sent to Participant"
8292,"a0RG000000PpwbVMAR","Scott Grantham","2013-11-20","Two story unit in four plex with some shared walls.","2","4","2012","Standard Pacific","2377","22901","N","Casa mechanical","Electricity;Natural Gas","Slab","Apartment","0","1","1","0","N/A","1","0","0","0","0","0","","0","2","","30.00","0.00","44.00","0.00","113.00","0.00","139.00","0.00","0","0","0","0","0","0","0","0","Double-pane;Low-e;Vinyl","0","","3","3","1","0","0","0","0","1080.00","1860.00","2515.00","6.70","","869","Cellulose (3.5)","12.00","0","0","1","Yes","Yes","Yes","28","0","0","1","3:30 PM","42.00","Quality Checked and Sent to Participant"
8342,"a0RG000000Sb2eeMAB","Fabio Ferrera (We Green Inc.)","2014-01-21","New home, tri-level town home. Distance: Shares both side walls. Significant shade: Front 39, Back 25. Utility: SDG&E","3","3","2012","Unknown","1365","12010","W","N/A","Electricity;Natural Gas","Slab","Town Home","0","1","0","0","N/A","1","0","0","0","0","0","3 Bathroom exhaust fans, 1 Range hood, 1 dryer","0","3","Fiberglass Batts (3.0) . Openings between floors: Yes. Partially open between floors 1-32.","0.00","0.00","138.00","0.00","0.00","0.00","56.00","0.00","0","0","0","0","0","0","0","0","Double-pane vinyl;Low E","0","None","2","2","1","0","0","0","0","3693.00","5380.00","6906.00","34.50","Very high. No reason found.","1365","Fiberglass Batts (3.2)","12.00","1","1","0","Yes","No","Yes","14","1","0","1","2:00 PM PST","38.00","Quality Checked, Not Sent to Participant"
9654,"a0RG000000PosbKMAR","Scott Grantham","2013-10-09","","1","2","1954","Unknown","1237","9896","N","None","Electricity;Natural Gas","Pier and Beam","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","1","Thin layer of fiberglass topped by Cellulose.","78.00","0.00","44.00","0.00","105.00","0.00","111.00","0.00","0","0","0","0","0","0","0","0","Single-pane;Metal;Clad wood","0","Some very large windows facing south and west. Heat sensor detects significant conductance heat.","3","2","0","0","0","0","0","1120.00","1800.00","2730.00","16.50","Small insulated strips on sliding dont qualify as weatherstripping, plumbing penetrations not well sealed.","1237","Fiberglass/Insulsafe (2.2);Cellulose (3.5)","15.00","1","0","0","Yes","Yes","Yes","16","0","15","1","10:30 AM","52.50","Quality Checked and Sent to Participant"
9775,"a0RG000000Sb2edMAB","Fabio Ferrera (We Green Inc.)","2013-12-20","3rd Floor one-level/no attic. Distance: Shares right wall. Significant shade: Front walkway 7 overhang. Utility: SDG&E","1","3","2012","Unknown","1405","12645","N","N/A","Electricity;Natural Gas","Adiabatic Frame Floor","Apartment","1","1","0","0","N/A","0","0","0","0","0","0","2 Bathroom exhaust fans, 1 Range hood","0","1","Not accessible","30.00","0.00","0.00","0.00","135.00","0.00","74.00","0.00","0","0","0","0","0","0","0","0","Double-pane vinyl","0","None","1","1","1","0","0","0","0","504.00","801.00","1180.00","5.60","Tight","1405","","","0","0","0","","No","Yes","6","1","0","1","3:30 PM PST","","Quality Checked, Not Sent to Participant"
9932,"a0RG000000PowaaMAB","Scott Grantham","2013-10-11","Home is well shaded by trees. Part of house is built on slab and part on pier and beam.","2","3","1998","Tim Hill","2177","18725","S","None","Electricity;Natural Gas","Slab;Pier and Beam","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","1","","153.00","0.00","8.00","0.00","155.00","0.00","48.00","0.00","9","0","0","0","9","0","18","0","Double-pane;Low-e;Metal;Clad wood","0","All windows are Low E except corners which have solar film","5","5","1","1","1","1","0","1320.00","2050.00","2890.00","9.40","Fireplace sealed off with insulation.","1529","Fiberglass/Insulsafe (2.2)","5.00","0","0","1","Yes","Yes","Yes","42","1",">= 20","1","1:30 PM","11.00","Quality Checked and Sent to Participant"
9982,"a0RG000000XR7xAMAT","Scott Grantham","2014-09-08","","1","3","2008","David Weekly","1422","14220","W","Christianson Air Conditioning","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","1","","58.00","0.00","71.00","0.00","60.00","0.00","28.00","0.00","0","0","0","0","0","0","0","0","Double-pane;Low-e;Vinyl","0","","2","2","1","0","0","0","0","345.00","541.00","729.00","3.06","","1877","Cellulose (3.5)","12.00","0","0","1","Both","Yes","Yes","18","0","10","1","9:00 AM","42.00","Quality Checked and Sent to Participant"
