dataid,local_15min,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
9737,1/30/2013 18:00,,,,,,,,,,,,,,,0,,0.000266667,,0.005,,,,,0.035066667,0.0078,0.2522,,,,,,0.047066667,,,,,,0.001,,,,,,0.218333333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 17:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034733333,0.008,0.2324,,,,,,0,,,,,,0.003,,,,,,0.196333333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 17:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034866667,0.008666667,0.241133333,,,,,,0.0462,,,,,,0.003,,,,,,0.038333333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 17:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034733333,0.009,0.2552,,,,,,0,,,,,,0.0026,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 17:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034866667,0.009,0.265333333,,,,,,0.046666667,,,,,,0.0028,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 16:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034733333,0.009,0.270466667,,,,,,0,,,,,,0.0026,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 16:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0348,0.009,0.235,,,,,,0.047266667,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 16:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034733333,0.009,0.2348,,,,,,0,,,,,,0.0028,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 16:00,,,,,,,,,,,,,,,0,,0,,0.004,,,,,0.035133333,0.009066667,0.2338,,,,,,0.046866667,,,,,,0.0022,,,,,,0.002933333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 15:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034733333,0.009,0.234466667,,,,,,0,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 15:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034733333,0.009,0.234133333,,,,,,0.047,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 15:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035133333,0.009,0.233933333,,,,,,0,,,,,,0.0028,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 15:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034733333,0.009,0.234933333,,,,,,0.047066667,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 14:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035066667,0.009,0.233066667,,,,,,0,,,,,,0.003,,,,,,0.0032,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 14:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034733333,0.009,0.234733333,,,,,,0.0468,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 14:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0348,0.009,0.235066667,,,,,,0,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 14:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034733333,0.009,0.234466667,,,,,,0.0468,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 13:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0348,0.008933333,0.234266667,,,,,,0,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 13:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035,0.0088,0.234,,,,,,0.046466667,,,,,,0.003,,,,,,0.002,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 13:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035666667,0.009,0.233533333,,,,,,0,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
